algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
constructive_learning,0.014,1.278,0.899,0.899,0.899,0.899,0.899,0.883,0.830,0.883,0.101,0.101,0.266,0.996,0.998,0.895,80.128
AIS,0.430,24.762,0.921,0.922,0.921,0.921,0.921,0.909,0.862,0.909,0.079,0.079,0.214,0.833,0.913,0.921,83.354
GBBK,0.027,0.075,0.574,0.671,0.574,0.549,0.581,0.545,0.473,0.512,0.426,0.426,1.682,8.600,2.933,0.502,-55.373
GE SVM,39.693,56.747,0.743,0.755,0.743,0.728,0.736,0.707,0.625,0.701,0.257,0.257,0.742,2.899,1.703,0.685,46.098
Hidden Naive Bayes (HNB),0.019,0.072,0.574,0.671,0.574,0.549,0.581,0.545,0.473,0.512,0.426,0.426,1.682,8.600,2.933,0.502,-55.373
HistGradientBoostingClassifier,0.783,18.125,0.914,0.915,0.914,0.914,0.914,0.901,0.853,0.901,0.086,0.086,0.226,0.874,0.935,0.913,82.540
IGRF-RFE with k-fold Cross-Validation,0.006,0.749,0.897,0.898,0.897,0.897,0.897,0.881,0.827,0.881,0.103,0.103,0.274,1.042,1.021,0.892,79.204
ICA,0.522,53.697,0.923,0.923,0.923,0.923,0.923,0.911,0.865,0.911,0.077,0.077,0.207,0.793,0.890,0.923,84.161
Lasso Regression,0.011,155.249,0.658,0.702,0.658,0.651,0.666,0.609,0.551,0.603,0.342,0.342,1.093,4.847,2.201,0.570,8.418
Meta (KNN),8.832,0.500,0.909,0.910,0.909,0.908,0.909,0.895,0.842,0.894,0.091,0.091,0.255,1.023,1.012,0.911,79.571
T-SNE Random Forest (T-SNERF) with k-fold Cross-Validation,0.424,1382.487,0.240,0.231,0.240,0.229,0.229,0.111,0.146,0.110,0.760,0.760,2.240,9.517,3.085,0.163,-90.110
Projected Gradient Descent (PGD),0.022,31.488,0.754,0.787,0.754,0.739,0.749,0.720,0.635,0.714,0.246,0.246,0.757,3.211,1.792,0.696,38.356
PCA,0.007,1.778,0.901,0.901,0.901,0.900,0.900,0.885,0.832,0.885,0.099,0.099,0.262,0.982,0.991,0.897,80.399
RBF,46.294,67.283,0.743,0.764,0.743,0.727,0.735,0.707,0.624,0.701,0.257,0.257,0.747,2.917,1.708,0.684,45.765
Stacked Convolutional Neural Networks with k-fold Cross-Validation,4.199,106.035,0.806,0.807,0.806,0.785,0.786,0.780,0.692,0.776,0.194,0.194,0.613,2.681,1.637,0.778,46.929
Simulated Annealing (SA),0.000,102.515,0.396,0.268,0.396,0.292,0.275,0.386,0.266,0.266,0.604,0.604,1.942,7.732,2.781,0.221,-10.676
SVM with Optimization and k-fold Cross-Validation,11.498,48.917,0.637,0.754,0.637,0.603,0.634,0.597,0.513,0.573,0.363,0.363,1.145,4.715,2.171,0.517,6.936
Stacking Classifier,1.258,157.068,0.896,0.896,0.896,0.896,0.896,0.879,0.826,0.879,0.104,0.104,0.276,1.046,1.023,0.889,79.104
Stacking Dilated Convolutional Autoencoders,0.017,8.408,0.898,0.898,0.898,0.898,0.898,0.882,0.829,0.882,0.102,0.102,0.267,1.006,1.003,0.894,79.919
Temporal Deep Feedforward Neural Network,3.475,84.296,0.655,0.589,0.655,0.601,0.591,0.615,0.526,0.597,0.345,0.345,0.906,3.503,1.872,0.545,30.509
Voting Classifier,0.164,2.539,0.897,0.898,0.897,0.897,0.897,0.880,0.828,0.880,0.103,0.103,0.272,1.031,1.015,0.893,79.461
GBT,0.596,342.664,0.898,0.898,0.898,0.896,0.897,0.882,0.828,0.881,0.102,0.102,0.285,1.156,1.075,0.895,76.909
CART,0.012,2256.174,0.257,0.136,0.257,0.118,0.109,0.101,0.073,0.019,0.743,0.743,1.737,5.223,2.285,0.130,4.539
